timestamp,severity,correction_type,description,source_file,asset,before_value,after_value,details
2026-05-27T23:34:59.996936,warning,missing_drop_row,Row 2023-06-05 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-06-05 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.999365,warning,missing_drop_row,Row 2023-06-09 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-06-09 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:35:00.005652,warning,missing_drop_row,Row 2023-06-13 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-06-13 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:35:00.006396,warning,missing_drop_row,Row 2023-06-23 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-06-23 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:35:00.006853,warning,missing_drop_row,Row 2023-06-26 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-06-26 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:35:00.008421,warning,missing_drop_row,Row 2023-06-27 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-06-27 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:35:00.008936,warning,missing_drop_row,Row 2023-06-28 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-06-28 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:35:00.009100,warning,missing_drop_row,Row 2023-06-29 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-06-29 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:35:00.010155,warning,missing_drop_row,Row 2023-07-10 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-07-10 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:35:00.011936,warning,missing_drop_row,Row 2023-07-21 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-07-21 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:35:00.012066,warning,missing_drop_row,Row 2023-07-24 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-07-24 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:35:00.012198,warning,missing_drop_row,Row 2023-07-25 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-07-25 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
